Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-up) [TeVcm^(-2)s^(-1)]
10975.210715141 	 2.878449429e-12 	                  7.199292125e-13 	                  5.729852626e-12
11102.939995373 	 2.838925286e-12 	                  7.053990290e-13 	                  5.669795025e-12
11232.155786385 	 2.799943851e-12 	                  6.911621051e-13 	                  5.610366919e-12
11362.875388158 	 2.761497672e-12 	                  6.772125222e-13 	                  5.551716030e-12
11495.116302011 	 2.723579400e-12 	                  6.635444808e-13 	                  5.493950769e-12
11628.896232944 	 2.686181785e-12 	                  6.501522987e-13 	                  5.436786551e-12
11764.233092007 	 2.649297679e-12 	                  6.370304083e-13 	                  5.380244093e-12
11901.144998696 	 2.612920031e-12 	                  6.241733543e-13 	                  5.324579700e-12
12039.650283386 	 2.577041886e-12 	                  6.115757915e-13 	                  5.269607689e-12
12179.767489776 	 2.541656386e-12 	                  5.992324828e-13 	                  5.215564971e-12
12321.515377379 	 2.506756766e-12 	                  5.871222601e-13 	                  5.162096335e-12
12464.912924030 	 2.472336355e-12 	                  5.752384984e-13 	                  5.109175846e-12
12609.979328427 	 2.438388572e-12 	                  5.635885427e-13 	                  5.056797885e-12
12756.734012704 	 2.404906928e-12 	                  5.521745265e-13 	                  5.004956888e-12
12905.196625027 	 2.371885023e-12 	                  5.409916714e-13 	                  4.953657018e-12
13055.387042228 	 2.339316542e-12 	                  5.300352958e-13 	                  4.903192399e-12
13207.325372465 	 2.307195262e-12 	                  5.193008131e-13 	                  4.853301741e-12
13361.031957916 	 2.275515040e-12 	                  5.087837294e-13 	                  4.803918727e-12
13516.527377498 	 2.244269821e-12 	                  4.984796417e-13 	                  4.755038192e-12
13673.832449626 	 2.213453632e-12 	                  4.883842365e-13 	                  4.706899332e-12
13832.968235001 	 2.183060582e-12 	                  4.784932874e-13 	                  4.659366588e-12
13993.956039427 	 2.153084860e-12 	                  4.688026536e-13 	                  4.612313854e-12
14156.817416663 	 2.123520737e-12 	                  4.593082784e-13 	                  4.565736284e-12
14321.574171312 	 2.094362560e-12 	                  4.500061870e-13 	                  4.519863288e-12
14488.248361738 	 2.065604756e-12 	                  4.408924852e-13 	                  4.474565634e-12
14656.862303020 	 2.037241826e-12 	                  4.319633576e-13 	                  4.429721950e-12
14827.438569938 	 2.009268350e-12 	                  4.232150663e-13 	                  4.385327684e-12
15000.000000000 	 1.981678978e-12 	                  4.146439488e-13 	                  4.341599966e-12
